,Tweets,Time,Username
159,What a great time at @makerfaire this weekend. I published a few photos today on @Gigaom: http://gigaom.com/2014/05/19/here-are-the-robots-drones-and-fire-spewing-octopus-you-missed-at-this-weekends-maker-faire/ …,5/19/2014,signe
160,Fav thing at MakerFaire was meeting the young man responsible for the 1st makerspace in children's hospital #makered http://ow.ly/x50uo ,5/20/2014,smartinez
161,#10: Use more cooling fluid! My 10 commandments for makers: http://bit.ly/1m08xNW  @testedcom @makerfaire,5/20/2014,donttrythis
162,It was great to see @takeitapartcom provide take-apart opportunities at @makerfaire. Kids were totally engaged. pic.twitter.com/UJIJ129m0C,5/20/2014,MakerEdOrg
163,Make time to watch this beautiful aerial video of the greatest show and tell on earth. http://wp.me/p22K2I-1G8I  @3DRobotics @makerfaire,5/20/2014,make
164,"New post ""Cylon.js Takes The Stage At Makerfaire"" http://cylonjs.com/blog/2014/05/18/cylonjs-takes-the-stage-at-makerfaire/ … #javascript #robots #IoT #makerfaire",5/21/2014,CylonJS
165,"Well that's something I'd have expected to see at #MakerFaire? No idea what it is, but looks awesome! #OReillySolidpic.twitter.com/MLQPdEpw45",5/21/2014,aallan
166,Everybody seems to want my @hackaday coaster I got @makerfaire. Will have to glue it to my desk... pic.twitter.com/rhYvId9AXu,5/22/2014,Vel_Makers
167,"""Foldable Bedroom"": 8x8x8' collapsible living cube, by 6th-grader Shruthik Musukula, at #MakerFaire. /cc @leashlesspic.twitter.com/2B39hbLR3F",5/22/2014,houslets
168,[New Blog] Put on a Mini-#MakerFaire in Your Class! @ShiraLeeKatz explains how: http://bit.ly/1i9qIgj pic.twitter.com/hCmlrgQBra,5/22/2014,CommonSenseEd
169,3DR's Chris Anderson talks Maker Movement's punk rock roots on Center Stage at #MakerFaire http://youtu.be/5i8IzmlS2GA ,5/23/2014,make
170,@AnoukWipprecht and #Arcattack at #makerfaire 2014 http://www.instructables.com/id/HOW-TO-GET-FASHIONABLY-STRUCK-BY-LIGHTNING/ … Video - https://www.youtube.com/watch?v=mMBPLjxZQbM …pic.twitter.com/s4rAAewkog,5/23/2014,Synthestruct
171,"School Sucks, So 'Maker Culture' Is Literally Making Learning Better @MakerFaire http://reason.com/r/ZuY  via @reason #makers #DIY",5/23/2014,makerfaire
172,"Our founder Emily Pilloton speaking at @makerfaire last weekend: ""3 stories of love and audacity."" https://www.youtube.com/watch?v=MHjZK4NmX_4#t=353 …",5/27/2014,ProjectHDesign
173,"My @makerfaire speech on ""Punk Rock and the Origins of the Maker Movement"" (includes me as young punk): http://www.youtube.com/watch?v=5i8IzmlS2GA&feature=share&list=PLwhkA66li5vBWKmAn17pNWnGco19yKbIo&index=1 …",5/28/2014,chr1sa
174,"Maker Movement Fuels Apps, Robots, And Internet Of Things http://bit.ly/1lV9FQe  via @forbes #makerfaire #java",5/29/2014,Oracle
175,First stop of the #3DRV = the Bay Area #MakerFaire. Here's a recap:  http://autode.sk/1oxIFfR pic.twitter.com/628c6NYjUZ,5/29/2014,autodesk
176,My blog post on some of the neat @Raspberry_Pi-based projects that we saw at the #MakerFaire Bay Area http://www.raspberrypi.org/raspberry-pi-projects-at-the-maker-faire-bay-area/ …,5/30/2014,asbradbury
177,Oh yes. Hot-off-the-presses @UnityAssetStore swag just in time for Maker Faire y'all #Unity3d #makerfaire pic.twitter.com/oytk8h89nz,5/8/2014,KamioUnity
178,Hackaday @makerfaire Bay Area 2014 crew: @szczys @randomwalks @BenDelarre @asiwatch @technolomaniac.... @hackadaypic.twitter.com/Seuxq1Vhan,5/8/2014,randomwalks
